"#wordnet"
サブジェクト,テーマ
サポート,介添え
サポート,力添え
サポート,助け舟
サポート,助太刀
サポート,後ろ楯
サポート,後ろ盾
サポート,後押し
サポート,肩入れ
サマリ,大凡
サマリ,大略
サマリ,略
サマリ,綱要
サマー,夏
サンシャイン,太陽光
サンシャイン,日ざし
サンシャイン,日射し
サンシャイン,日差し
サンタン,日焼け
サンバーン,日焼け
サークル,倶楽部
サーチ,調査
サーバ,ホスト
サーバント,下働き
サーバント,使用人
サーバント,召使い
サーバント,奉公人
サーバー,ホスト
サービス,サーブ
サービス,値下げ
サービス,客扱い
サーモメーター,寒暖計
サーモメーター,温度計
シェル,貝殻
システム,仕組み
シスト,嚢腫
シチュエーション,身の上
シップ,船
シネマ,ムーヴィー
シネマ,映画
シネマ,活動
シフト,変わり
シフト,変化
シフト,変更
シフト,転移
シャレ,ヒューマー
シャレ,諧謔
シャン,別嬪
シャン,美人
シャン,美女
シャン,美形
シャングリラ,楽天地
ショウ,演芸会
ショップ,ストア
ショー,演芸会
ショー,興行
ショーツ,パンツ
シラミ,千手観音
シリーズ,続き物
シルク,絹布
シンパシー,同情心
シークレット,隠し事
シーツ,敷布
シート,席
シーン,一こま
シーン,一齣
シーン,光景
シーン,場
シーン,場景
シーン,情景
シーン,景色
シーン,状景
シーン,風景
ジェム,宝石
ジェラシー,焼き餅
ジェラシー,焼もち
ジャイアントパンダ,パンダ
ジャンクメール,スパム
ジョイ,喜び
ジョイ,悦び
ジョイ,悦楽
ジョイ,愉楽
ジョイ,慶び
ジョイ,楽しさ
ジョギング,犬走り
ジョグ,犬走り
ジレンマ,板挟み
スィッチ,点滅器
スイッチ,点滅器
スウィッチ,点滅器
スカイ,大空
スカイ,天空
スカルプチャー,彫り物
スキル,伎
スキル,伎倆
スキル,力量
スキル,実力
スキル,手の内
スキル,手並
スキル,手並み
スキル,手技
スキル,手腕
スキル,技
スキル,技倆
スキル,技量
スキル,能
スキル,腕
スキル,腕前
スキーリフト,リフト
スクリュー,推進機
スケジュール,予定表
スケジュール,日取り
スケジュール,日程表
スケートリンク,リンク
スコア,ポイント
スコア,点
スタア,星
スタイル,背格好
スタイル,遣り方
スター,明星
スター,星
スター,花形
スタート,入り口
スタート,出だし
スタート,出始め
スタート,皮切り
スタート,第一歩
スチームバス,蒸風呂
ステイ,滞留
ステップ,足どり
ステップ,足付き
ステップ,足取り
ステップ,踏み板
ストア,店
ストア,店舗
ストック,貯蔵品
ストップ,打切り
ストラクチャ,仕組み
ストラクチャー,仕組み
ストレンジャー,外来者
スナイパー,狙撃兵
スノー,白銀
スノー,白雪
スノー,積雪
スノー,雪
スパイ,犬
スパイダー,ボット
スピン,廻転
スピード競技,レース
スペリング,綴り方
スペル,綴り方
スポンサーシップ,肝入り
スポンサーシップ,肝煎り
スライド,横滑り
スランプ,霜枯れ
スロープ,傾斜面
スワン,鵠
セオリ,セオリー
セオリ,理屈
セオリ,理窟
セオリ,理論
セオリ,説
セキュリティ,安全性
セクタ,部門
セゾン,季節
セッケン,ソープ
セッケン,石ケン
セッティング,セット
セット,一式
セット,一揃い
セット,一揃え
セット,一組
セット,揃
セット,揃い
セット,揃え
セット,組
セット,組み
セット,設定
セマンティクス,意味論
セミコンダクタ,半導体
セメン,セメント
センス,意味
センス,感覚
センター,中堅手
センチメント,気持ち
センティメント,気持ち
セーブ,救助
セーブ,救済
セール,販売
ソウル,プシュケ
ソウル,プシュケー
ソウル,心
ソウル,精神
ソウル,魂
ソフト,ソフトウェア
ソフト,ソフトウエア
ソフト,ソフト帽
ソフト,フェドーラ
ソフト,中折
ソフト,中折れ
ソフト,中折れ帽
ソフト,中折れ帽子
ソフト,中折帽
ソフト,柔
ソフト,柔い
ソフト,温柔
ソフト,温雅
ソリューション,解決策
ソング,歌
ソーイング,針仕事
ソース,出典
ソース,出処
ソース,出所
ソース,垂れ
ソース,情報源
ソーティング,ソート
ソード,段平
ソール,プシュケ
ソール,プシュケー
ソール,心
ソール,精神
ソール,魂
ゾーン,地区
ゾーン,地域
タイ,相討ち
タイゲーム,相討ち
タイトル,肩書き
タイトル,見出し
タイトル,選手権
タイプ,タイプライタ
タイプ,タイプライター
タイプ,印字機
タイプ,型
タイプ,型式
タイプ,手合
タイプ,手合い
タイプ,様式
タイプ,毛色
タイプ,種
タイプ,種類
タイプ,部類
タイプ,類
タイプ,類い
タイプ,類型
タイム,中断
タイム,中止
タイム,星霜
タイム,時
タイム,時代
タイム,時期
タイム,時間
タウン,町
タグ,下げ札
タグ,引き船
タスク,仕事
タスク,作業
タスク,業務
タスク,課題
タッチ,接触
タッチ,肌触
タンク,特車
ターン,順番
ダイア,ダイヤモンド
ダイアモンド,ダイヤ
ダイビング,ダイブ
ダイビング,ダイヴ
ダイヤ,時刻表
ダイヤ,金剛
ダイヴ,飛びこみ
ダイヴ,飛び込み
ダイヴ,飛込み
ダウン,下落
ダウン,下降
ダウン,羽毛
ダグアウト,ベンチ
ダスト,埃
ダッグアウト,ベンチ
ダニ,マダニ
ダブり,反覆
ダブり,繰りかえし
ダブリ,反覆
ダブリ,繰りかえし
ダンス,演舞
ダンス,舞踊
ダンス,舞踏
ダークブルー,濃紺色
ダーク・ブルー,濃紺色
チェア,主宰
チェア,議長
チェンジ,変わり
チェンジ,模様替
チキン,若鳥
チップ,祝儀
チャンネル,通信路
チョウ,蝶蝶
チョボ,点
チーム,ティーム
チーム,分隊
チーム,班
チーム,球団
チーム,組
ツアー,周遊
ツアー,周遊旅行
ツアー,回遊
ツアー,巡回
ツアー,巡歴
ツアー,巡遊
ツアー,漫遊
ツアー,行脚
ツアー,遊歴
ツキ,ラック
ツキ,仕合せ
ツリー,木
ツール,具
ツール,器具
ツール,工具
ツール,手段
ツール,手道具
ツール,用具
ツール,道具
テイル,尾っぽ
テキスト,教科書
テキストブック,教科書
テクスト,教科書
テスティング,テスト
テスト,テスト作業
テスト,トライアル
テスト,トライヤル
テスト,実験
テスト,審査
テスト,小手調べ
テスト,考査
テスト,考試
テスト,試
テスト,試し
テスト,試み
テレビ,テレビジョン
テレビ,テレビセット
テレビ,テレビ受像機
テレビ,テレビ放送
テレビ,テレヴィジョン
テレビ,受像機
テレビ受像機,受像機
テンプラ,ニセ物
テンプラ,偽造品
テーブル,リスト
テーブル,一覧表
テーブル,早見表
テーマ,トピック
テーマ,楽想
テーマ,画題
テーマ,話柄
テーマ,話頭
テーマ,話題
テーマ,題
テーマ,題目
テール,尾っぽ
ディスカウント,値下げ
ディフォルト,不履行
ディフォルト,不払い
ディメンション,大きさ
デコレーション,装飾品
デザイン,図案化
デザイン,絵図面
デザイン,青写真
デッキ,甲板
デビル,デモン
デビル,デーモン
デビル,悪魔
デビル,魔
デビル,魔物
デビル,魔王
デフォルト,不履行
デフォルト,不払い
デフォルト,未払い
デフォールト,不履行
デフォールト,不払い
デメリット,泣き所
デモン,デーモン
デモン,悪霊
デモン,悪魔
デモン,鬼
デモン,鬼神
デモン,魔
デモン,魔物
デモン,魔王
デモン,魔神
デルタ,三角州
データ,情報
データ,資料
デート,年月日
デート,日
デート,日づけ
デート,日付
デート,日付け
デート,日時
デート,月日
トイレ,不浄
トイレ,手洗い場
トップ,ナンバーワン
トップ,一番
トップ,一等
トップ,一級
トップ,上部
トップ,初め
トップ,最初
トップ,最高
トップ,真っ先
トップ,第一
トップ,絶頂
トップ,随一
トップ,頂
トップ,頂点
トップ,頭
トライ,取り組み
トライ,試
トライ,試み
トライ,試行
トラッシュ,廃棄物
トラップ,引掛け
トラブル,厄介事
トラブル,揉め事
トラベラー,旅行家
トランペット,ペット
トリック,仕掛け
トリックスター,詐欺師
トレイ,盆
トレンド,流行り
トレー,盆
トンボ返り,宙返り
トーク,語らい
トーン,呂律
トーン,調子
トーン,音
トーン,音色
トーン,音調
トーン,響き
ドアベル,ブザー
ドクター,博士号
ドグマ,教条
ドッグ,犬
ドット,点
ドラマ,劇
ドラマ,戯曲
ドラマ,演劇
ドラマ,芝居
ドリーマー,夢想家
ドレス,装い
ドレス,装束
ドレスメーカー,ドレメ
ドレスメーカー,仕立屋
ドロア,引き出し
ドロア,引出
ドロア,引出し
ドロア,抽出
ドロア,抽斗
ドロウ,相討ち
ドロン,失跡
ドロン,失踪
ドロン,消える
ドロン,蒸発
ドロー,相討ち
ド肝,肝っ玉
ナイス,上手
ナイス,好い
ナイト,夜
ナショナリスト,愛国者
ナルシシズム,自惚れ
ナンバーワン,真っ先
ナーサリー,育児室
ニセ物,フェイク
ニセ物,偽
ニセ物,偽作
ニセ物,偽書
ニセ物,偽造品
ニセ物,天麩羅
ニセ物,紛い
ニセ物,贋
ニュース,知らせ
